Designator,Mid X,Mid Y,Rotation,Layer
D1,144.70575,-152.626,180.0,top
D10,198.70575,-146.626,180.0,top
D11,198.70575,-129.626,180.0,top
D12,198.70575,-112.626,180.0,top
D13,216.70575,-146.626,180.0,top
D14,216.70575,-129.626,180.0,top
D15,216.70575,-112.626,180.0,top
D16,216.70575,-167.626,180.0,top
D17,241.11393092259382,-175.30184794814588,145.0,top
D2,144.70575,-135.626,180.0,top
D3,144.70575,-118.626,180.0,top
D4,162.70575,-146.626,180.0,top
D5,162.70575,-129.626,180.0,top
D6,162.70575,-112.626,180.0,top
D7,180.70575,-146.626,180.0,top
D8,180.70575,-129.626,180.0,top
D9,180.70575,-112.626,180.0,top
H1,150.7375,-112.626,0.0,top
H2,157.7375,-163.626,0.0,top
H3,229.7375,-164.626,0.0,top
H4,207.7375,-126.626,0.0,top
S1,144.7375,-160.99375,180.0,top
S10,198.7375,-154.99375,180.0,top
S11,198.7375,-137.99375,180.0,top
S12,198.7375,-120.99375,180.0,top
S13,216.7375,-154.99375,180.0,top
S14,216.7375,-137.99375,180.0,top
S15,216.7375,-120.99375,180.0,top
S16,216.7375,-175.99375,180.0,top
S17,236.34039417465428,-182.17451927500974,145.0,top
S2,144.7375,-143.99375,180.0,top
S3,144.7375,-126.99375,180.0,top
S4,162.7375,-154.99375,180.0,top
S5,162.7375,-137.99375,180.0,top
S6,162.7375,-120.99375,180.0,top
S7,180.7375,-154.99375,180.0,top
S8,180.7375,-137.99375,180.0,top
S9,180.7375,-120.99375,180.0,top
TRRS1,243.1125,-159.476,270.0,top
